title,company,link,requirements,,,
Data Scientist,Maya,https://ph.linkedin.com/jobs/view/data-scientist-at-maya-4445458453?position=1&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=6TkF0UK1%2F4%2FnARrFNfkq1A%3D%3D,"We are looking for a
Data Scientist
to build and scale Maya’s intelligence layer. You will be responsible for the end-to-end development of production-ready machine learning solutions designed to address intricate business problems. By aligning deeply with cross-functional requirements, you will ensure our data assets are fully leveraged to achieve aggressive business milestones.
NATURE OF WOR
KDesigning production-grade data science solutions to handle marketing and personalization models at scale
.You are responsible for developing sophisticated machine learning and AI models from inception through to production deployment
.You serve as the primary architect who dissects complex business challenges into precise requirements for AI solutions
.Work closely with collaborators to ensure data is leveraged effectively to achieve specific company targets and marketing goals
.Collaborate with business leaders, engineers, and other stakeholders to formulate and execute a comprehensive AI strategy tailored to the bank's needs
.Be able to do deep dive research in advancing our pool of technical approaches and advocate for unconventional and novel applications of new algorithms to keep Maya’s marketing engine competitive
.You validate the technical approaches, methodologies, and scripts of other developers to ensure they align with both technical standards and business requirements
.You translate complex technical concepts and model results for non-technical audiences and senior stakeholders
.You maintain an unwavering commitment to quality in all deliverables, ensuring models are robust and ""production-grade"" and scalable
.You mentor both senior and junior developers on technical skills and the ""soft skills"" required to manage stakeholders
.
REQUIRED QUALIFICATIO
NSWith at least a bachelor’s degree in any quantitative discipline (i.e. Industrial Engineering, Statistics, Physics, Math, Computer Science, etc
.)Having at least 5 years of relevant experien
ceWith experience developing models for use of marketing and personalizati
onExposure in recommendation system is a pl
usExposure in experimentation is a pl
usExposure in optimization, causal ML and deep learning is a pl
us",,,
Applied Data Scientist,Emapta Global,https://ph.linkedin.com/jobs/view/applied-data-scientist-at-emapta-global-4445655406?position=2&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=H2VUtPzU6reFmZfCNvVh3A%3D%3D,"The Qualifications We Seek
Master's or PhD in Data Science, Computer Science, Statistics, Mathematics
, or a related quantitative field
3-5 years
of experience as an
Applied Data Scientist, Machine Learning Engineer, or AI/ML Data Scientist
delivering production-ready solutions
Hands-on experience developing, deploying, monitoring, and optimizing end-to-end machine learning models
Strong experience with Google Cloud Platform, particularly
Vertex AI
and BigQuery
Proficiency in
Databricks
for large-scale data processing, feature engineering, model training, and ML workflows
Strong programming skills in Python and SQL; R is an advantage
Experience with ML frameworks such as Scikit-learn, TensorFlow, PyTorch, or XGBoost
Familiarity with ETL/ELT, APIs, data pipelines, MLOps, statistical modeling, predictive analytics, and customer intelligence use cases
Experience with BI tools such as Power BI, Tableau, or Looker
Industry exposure to Media, Telecommunications, Financial Services, or other data-intensive environments is preferred
Strong analytical, problem-solving, stakeholder management, and communication skills
Your Daily Tasks
Analyze customer, product, subscription, and engagement data to uncover trends and opportunities
Deliver actionable insights that support business, marketing, pricing, and operational decisions
Create dashboards and reporting solutions to measure performance and business outcomes
Build and enhance machine learning models for customer behavior, segmentation, engagement, and retention
Manage the full model lifecycle, from feature engineering and training to monitoring and optimization
Drive AI/ML experimentation, prototyping, and innovation initiatives
Continuously improve data science processes, documentation, and development standards
Apply emerging AI technologies and best practices to strengthen business capabilities
Deliver high-impact data science solutions that improve revenue, efficiency, and customer outcomes
Ensure model performance, ML pipeline stability, and operational reliability
Promote the adoption of innovative tools, methodologies, and technologies across the organization
Join the Top 1% Talent. A Better Career. A Better Life.
Welcome to Emapta Philippines, where high-performing professionals build long-term global careers with leading international companies. Recognized as
one of HR Asia's Best Companies to Work For in Asia 2025
and
winner of Inspiring Workplaces Australasia 2026
, Emapta delivers a workplace defined by stability, growth, and purpose. Here, your career moves forward with meaningful opportunities, world-class support, and a culture built for excellence.
Apply now and be part of the #EmaptaEra.",,,
Data Scientist,"Afni, Inc.",https://ph.linkedin.com/jobs/view/data-scientist-at-afni-inc-4443471809?position=3&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=7yjEjrJs9QDhefQTuHCN2g%3D%3D,"Minimum Job Requirements (Education, Experience, Skills):
Bachelor’s degree on any of the following course/s: Mathematics, Statistics, Computer Science, Engineering, IT, Physics, Economics, Data Science, or any related courses. Master or PHD degree an advantage.
3+ Years of experience in any of the following languages (R, Python, etc.)
2+ years of experience working with big data platforms and proficient with SQL-style languages.
2+ years of experience with statistical data analysis, data mining, and applied machine learning.
Experience in BPO industry, an advantage.
Strong communicators with skills in writing and public speaking
Able to work independently and manage multiple tasks, applying time management approach.
Critical thinking- objectively analyze questions, hypotheses, and results.
Proactive problem solving-approach problems by identifying existing assumptions and resources and identify the right method to get the right answers.
Intellectual curiosity- dive deeper than surface results and challenge initial assumptions
Solutions oriented, looking at differing angles/perspectives to a problem, then focusing on controllable factors to drive solutions.
Working Conditions and Environment:
Incumbent works in a temperature-controlled office environment. Incumbent sits at a desk during regularly scheduled work hours; answers and makes telephone calls using a standard telephone; types on a standard keyboard; reads and comprehends information from a computer terminal and/or written resources.
The above statements are intended to indicate the general nature and level of work being performed by employees within this classification. They are not intended to be an exhaustive list of all responsibilities, duties and skills required of employees assigned to this job. Employees in this job may perform other duties as assigned.",,,0
Data Scientist,"Smart Communications, Inc.",https://ph.linkedin.com/jobs/view/data-scientist-at-smart-communications-inc-4439123593?position=4&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=bQ1YhjTaXs1To8OUB2skng%3D%3D,"Minimum Requirements
Bachelor’s degree holder of any quantitative discipline such as Data Science, Statistics, Computer Science, or related quantitative field
2–4+ years’ experience with the full ML/AI lifecycle from data preparation to deployment and monitoring
Strong proficiency in Python, SQL, and experience with AWS/Databricks environments
Good communication skills to explain complex ML/AI concepts to diverse stakeholders
Exposure to Generative AI or LLMs, with understanding of responsible AI practices (bias, fairness, data privacy)
Nice to Have
:
Hands-on experience with LLMOps, RAG, or Agentic AI
Version Control (git) and experience with CI/CD pipelines for ML model deployment",,,
Data Scientist,JPMorganChase,https://ph.linkedin.com/jobs/view/data-scientist-at-jpmorganchase-4444741056?position=6&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=fSpYc1mqj%2FE4NtQ5afEkJQ%3D%3D,"Required Qualifications, Capabilities, And Skills
Bachelor's degree in financial engineering, statistics, mathematics, computer science, or a related field
Two years of experience in data-focused development or analytics roles
Advanced Python proficiency for data analysis and production-quality code
Proficiency with SQL for data extraction, transformation, and analysis
Experience with machine learning and statistical modeling methods, including classification, regression, and time-series forecasting
Knowledge of fixed income analytics and financial modeling concepts relevant to valuation and risk work
Experience applying generative artificial intelligence methods to business problems, including selecting an appropriate approach
Ability to translate complex concepts into clear, decision-ready communication for varied audiences
Strong software and systems analysis skills, including requirements translation and solution design
Ability to manage multiple deliverables with strong attention to detail and execution discipline
Ability to work independently and collaboratively in a fast-paced environment
Preferred Qualifications, Capabilities, And Skills
Master's degree in financial engineering, statistics, mathematics, computer science, or a related field
Experience with performance analysis and code optimization
Familiarity with mortgage loan data and common mortgage analytics concepts (for example, prepayment and cash flow modeling)
Experience integrating analytics tools into proprietary platforms used for valuation or risk workflows
Experience in financial services, particularly mortgage analytics or risk management
Demonstrated ability to deliver results under tight timelines while maintaining quality
Strong presentation skills for communicating insights and recommendations to stakeholders",,,
Data Scientist,Insight,https://ph.linkedin.com/jobs/view/data-scientist-at-insight-4444918917?position=7&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=z8C%2BPSf61WTfPCMaSHTMtw%3D%3D,"What We’re Looking For
Experience: Minimum 3 years of experience as a Data Scientist with a portfolio of completed projects.
Programming: Expert proficiency in Python with core data science libraries (Pandas, scikit-learn, NumPy).
Data Platform: Hands-on experience with Databricks, including PySpark, MLflow, and Databricks Workflows.
SQL: Strong SQL skills for data exploration and feature engineering.
ML Fundamentals: Solid understanding of machine learning algorithms, model evaluation, and statistical methods.
Communication: Excellent written and verbal English communication skills; ability to present technical findings to diverse audiences.
Collaboration: Comfortable working in Agile teams alongside engineers and product stakeholders.
Nice to Have: Experience with LLM evaluation/fine-tuning; familiarity with PowerBI; background in a quantitative field (CS, Statistics, Mathematics).
What You Can Expect
We’re legendary for taking care of you, your family and to help you engage with your local community. We want you to enjoy a full, meaningful life and own your career at Insight. Some of our benefits include:
Freedom to work from another location—even an international destination—for up to 30 consecutive calendar days per year.
HMO on Day 1 with 2 free dependent.
But what really sets us apart are our core values of Hunger, Heart, and Harmony, which guide everything we do, from building relationships with teammates, partners, and clients to making a positive impact in our communities.
Join us today, your ambITious journey starts here.
Insight is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation or any other characteristic protected by law.
When you apply, please tell us the pronouns you use and any reasonable adjustments you may need during the interview process.
At Insight, we celebrate diversity of skills and experience so even if you don’t feel like your skills are a perfect match - we still want to hear from you!
Insight does not accept unsolicited resumes from recruiters or employment agencies. Unsolicited resumes will be treated as direct applications from the candidate, and recruiters or agencies who submit candidates for this position without a prior, written vendor agreement will not be eligible for any form of compensation, even if the candidate is hired.
The position described above provides a summary of some the job duties required and what it would be like to work at Insight. For a comprehensive list of physical demands and work environment for this position, click here.
About Insight
Today, every business is a technology business. Insight Enterprises, Inc. empowers organizations of all sizes with Insight Intelligent Technology Solutions™ and services to maximize the business value of IT. As a Fortune 500-ranked global provider of digital innovation, cloud/data center transformation, connected workforce, and supply chain optimization solutions and services, we help clients successfully manage their IT today while transforming for tomorrow. From IT strategy and design to implementation and management, our 11,000 teammates help clients innovate and optimize their operations to run smarter. Discover more at insight.com
Founded in 1988 in Tempe, Arizona
11,000+ teammates in 19 countries providing Insight Intelligent Technology Solutions™ for organizations across the globe
$8.3 billion in revenue in 2020
Ranked #409 on the Fortune 500, #15 on the CRN Solution Provider 500, 2020 CRN Innovator of the Year Award
2020 Intel Innovation Partner of Year, 2020 Microsoft U.S. Partner of the Year and Worldwide Customer Experience Partner of the Year
Ranked #7 on the 2021 Fortune World's Most Admired Companies (Information Technology Services industry), #70 on the Fortune 100 Best Workplaces for Diversity, #296 on Forbes World's Best Employers (#27 within IT), and #5 on the Phoenix Business Journal 2020 list of Best Places to Work
Today's talent leads tomorrow's success. Learn about careers at Insight: jobs.insight.com
Insight is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation or any other characteristic protected by law.
Insight Manila Location: 10F-11F Robinsons Cyber Omega, Pearl Drive, Ortigas Center, Pasig City, Metro Manila, Philippines 1605.",,,
Data Scientist,Full Scale,https://ph.linkedin.com/jobs/view/data-scientist-at-full-scale-4448986469?position=8&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=fTpcesj4QjaWSFOuZN3Ttg%3D%3D,"Requirements
4+ years applying data science in production, with models that made real decisions and had real consequences.
Strong Python and SQL. You write code others can run and maintain.
Hands-on experience building LLM agents with tool use and function calling — not just prompt engineering. Be ready to walk through a system you built and how you evaluated it.
Practical RAG experience: embeddings, vector search, chunking, retrieval evaluation, and re-ranking.
Sound statistical fundamentals and honest handling of uncertainty. We prefer a well-calibrated interval over a confident point estimate.
Experience deploying models to production — not handing notebooks off to an engineering team.
Working comfort with AWS ML tooling (Bedrock, SageMaker, Lambda) and a lakehouse or data warehouse environment.
Nice to Have
Databricks, Spark, and Delta Lake experience.
Experience with agent frameworks, orchestration patterns, and structured output / JSON-mode reliability.
Voice AI or conversational systems experience (Retell, Vapi, or comparable), including latency constrained design.
Time-series forecasting and causal inference exposure.
Automotive retail domain knowledge — DMS, CRM, F&I, fixed operations. A candidate who understands what an RO or a chargeback is will ramp faster.
Familiarity with AI safety and evaluation practice, including handling of PII in prompts and logs.
Why join us:
Fully remote – work from anywhere in the Philippines.
Work on live agentic AI systems — not POCs, not slideware, not handoff-to-engineering.
Data layer already in place (AWS lakehouse, Databricks) so you can focus on modeling and agents, not plumbing.
Small, senior, high-autonomy team with documentation-first culture.
Opportunity to define the evaluation and deployment standards every new model and agent will follow.
A team environment that values intellectual honesty, technical depth, and follow-through.",,,
Data Science Practitioner,Accenture in the Philippines,https://ph.linkedin.com/jobs/view/data-science-practitioner-at-accenture-in-the-philippines-4433257238?position=9&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=Ljp5D9F%2BX4LeyWdv6iWnbg%3D%3D,"Professional & Technical Skills: 
- Required Skill: Expert proficiency in Data Science. 
- Additional Good To Have Skills: Experience with Generative AI.
 - Strong foundation in statistical methods and predictive modeling techniques. 
- Experience with data preprocessing, feature engineering, and model evaluation.
 - Familiarity with programming languages commonly used in data science such as Python or R. 
- Ability to interpret complex datasets and communicate insights effectively to stakeholders. Additional Information: 
- The candidate should have minimum 2 years of experience in Data Science. 
- This position is based at our Manila office. Minimum 2 year(s) of experience is required",,,
Data Scientist,Home Credit Philippines,https://ph.linkedin.com/jobs/view/data-scientist-at-home-credit-philippines-4451025543?position=10&pageNum=0&refId=Iwf7LgvZY%2FdnxjdgmEKQHg%3D%3D&trackingId=dXz2XiVpn%2BDHxt0UKNkrmA%3D%3D,"What You Need To Have
At least 2-3 years of related work experience
Willingness to learn and switch to Python which we use for majority of analytical projects
Fundamentals of database management systems (Distributed computing, parallel processing, database modeling and design, relational databases, big data, Hadoop ecosystem (Hive, Impala, Spark), SQL language))
Computer science fundamentals (Data structures, algorithms, computational complexity, object-oriented programming, knowledge of at least one programming language)
Math and stats fundamentals (Numerical optimization, machine learning algorithms (neural networks, gradient boosting, regression), supervised and unsupervised learning, statistical inference, predictive modeling methodology and experiment design)
Basics of business intelligence (Translating data into actionable insights, automation through data mart design, implementation and visualization of results (Tableau, Power BI))
What Can Set You Apart
Understanding of operations of a consumer finance/lending company
Background in the ff technologies:
AWS
Azure
Spark/PySpark
TensorFlow",,,
Assoc Data Scientist III,IHG Hotels & Resorts,https://ph.linkedin.com/jobs/view/assoc-data-scientist-iii-at-ihg-hotels-resorts-4384058845?position=1&pageNum=2&refId=cLzyDkjfrwEIRrHBqNpMJA%3D%3D&trackingId=xYJMUqrutpeJNv50qy9q7w%3D%3D,"Technical Skills And Knowledge
Strong SQL and Python for analytics and model development
Working knowledge of supervised ML techniques and evaluation metrics
Experience with version control (Git) and code reproducibility
Familiarity with cloud ML workflows (GCP Vertex AI pipelines, BigQueryML)
Strong analytical thinking, problem-solving skills and attention to detail
Strong written and verbal communication skills
Don't quite meet every single requirement, but still believe you'd be a great fit for the job? We'll never know unless you hit the 'Apply' button. Start your journey with us today.",,,
